         18501500 function calls (16703748 primitive calls) in 629.123 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.005    0.000 axis.py:819(cla)
       16    0.000    0.000    0.000    0.000 axis.py:842(reset_ticks)
        8    0.000    0.000    0.020    0.003 axis.py:862(set_tick_params)
        8    0.000    0.000    0.000    0.000 axis.py:900(_translate_tick_kw)
        2    0.000    0.000    0.009    0.005 axis.py:945(set_clip_path)
        2    0.000    0.000    0.000    0.000 axis.py:988(get_inverted)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1595(__init__)
        2    0.000    0.000    0.000    0.000 backend_bases.py:1613(_fix_ipython_backend2gui)
        8    0.000    0.000    0.000    0.000 backend_bases.py:2150(mpl_connect)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2491(__init__)
        1    0.000    0.000    0.023    0.023 backend_bases.py:2625(__init__)
        2    0.000    0.000    0.000    0.000 backend_bases.py:3015(update)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3050(set_history_buttons)
        1    0.000    0.000    0.154    0.154 backend_bases.py:3253(new_figure_manager)
       45    0.000    0.000    0.001    0.000 colors.py:115(_is_nth_color)
       45    0.001    0.000    0.003    0.000 colors.py:149(to_rgba)
        3    0.000    0.000    0.000    0.000 colors.py:185(_to_rgba_no_colorcycle)
        4    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
      113    0.000    0.000    0.001    0.000 contextlib.py:157(helper)
      113    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
      113    0.000    0.000    0.002    0.000 contextlib.py:79(__enter__)
      113    0.000    0.000    0.001    0.000 contextlib.py:85(__exit__)
        1    0.000    0.000    0.000    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 core.py:593(filled)
       14    0.000    0.000    0.000    0.000 cycler.py:138(keys)
       14    0.000    0.000    0.000    0.000 cycler.py:225(__iter__)
      132    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
       12    0.001    0.000    0.001    0.000 cycler.py:349(by_key)
       24    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.000    0.000 deprecation.py:299(wrapper)
  3322385    3.322    0.000    3.322    0.000 drop.py:10(__getitem__)
   391431    1.393    0.000    3.684    0.000 drop.py:14(__eq__)
    19345    0.052    0.000    0.070    0.000 drop.py:2(__init__)
   643687    1.198    0.000    1.765    0.000 drop.py:7(__len__)
        1    0.000    0.000    0.000    0.000 figure.py:100(_entry_from_axes)
        1    0.000    0.000    0.000    0.000 figure.py:101(<dictcomp>)
        1    0.000    0.000    0.000    0.000 figure.py:1072(_make_key)
        1    0.000    0.000    0.000    0.000 figure.py:1075(fixitems)
        1    0.000    0.000    0.000    0.000 figure.py:108(bubble)
        1    0.000    0.000    0.000    0.000 figure.py:1091(fixlist)
        1    0.000    0.000    0.000    0.000 figure.py:1102(_process_projection_requirements)
        1    0.000    0.000    0.000    0.000 figure.py:115(add)
        1    0.000    0.000    0.047    0.047 figure.py:1261(add_subplot)
        1    0.000    0.000    0.000    0.000 figure.py:1418(_add_axes_internal)
        3    0.000    0.000    0.000    0.000 figure.py:145(current_key_axes)
        2    0.000    0.000    0.000    0.000 figure.py:157(__call__)
        1    0.000    0.000    0.000    0.000 figure.py:160(__contains__)
        2    0.000    0.000    0.000    0.000 figure.py:1624(clf)
        1    0.000    0.000    0.000    0.000 figure.py:168(__init__)
        1    0.000    0.000    0.000    0.000 figure.py:1882(_set_artist_props)
        1    0.000    0.000    0.047    0.047 figure.py:1888(gca)
        1    0.000    0.000    0.000    0.000 figure.py:1934(sca)
        2    0.000    0.000    0.000    0.000 figure.py:199(update)
        1    0.000    0.000    0.000    0.000 figure.py:2034(add_axobserver)
       12    0.000    0.000    0.000    0.000 figure.py:235(_update_this)
        1    0.000    0.000    0.001    0.001 figure.py:275(__init__)
        4    0.000    0.000    0.000    0.000 figure.py:452(_get_axes)
        1    0.000    0.000    0.000    0.000 figure.py:462(_get_dpi)
        1    0.000    0.000    0.000    0.000 figure.py:486(set_tight_layout)
       15    0.000    0.000    0.000    0.000 figure.py:49(_stale_figure_callback)
        3    0.000    0.000    0.000    0.000 figure.py:504(get_constrained_layout)
        1    0.000    0.000    0.000    0.000 figure.py:512(set_constrained_layout)
        1    0.000    0.000    0.000    0.000 figure.py:543(set_constrained_layout_pads)
        1    0.000    0.000    0.000    0.000 figure.py:70(__init__)
        5    0.000    0.000    0.000    0.000 figure.py:74(as_list)
        2    0.000    0.000    0.000    0.000 figure.py:779(set_canvas)
        5    0.000    0.000    0.000    0.000 figure.py:78(<listcomp>)
        5    0.000    0.000    0.000    0.000 figure.py:80(<listcomp>)
        2    0.000    0.000    0.000    0.000 figure.py:82(get)
        1    0.000    0.000    0.001    0.001 figure.py:875(set_size_inches)
        3    0.000    0.000    0.000    0.000 figure.py:898(<genexpr>)
       17    0.000    0.000    0.000    0.000 font_manager.py:1043(get_default_size)
       19    0.000    0.000    0.001    0.000 font_manager.py:620(__init__)
       19    0.000    0.000    0.000    0.000 font_manager.py:744(set_family)
       19    0.000    0.000    0.000    0.000 font_manager.py:757(set_style)
       19    0.000    0.000    0.000    0.000 font_manager.py:767(set_variant)
       19    0.000    0.000    0.000    0.000 font_manager.py:776(set_weight)
       19    0.000    0.000    0.000    0.000 font_manager.py:794(set_stretch)
       19    0.000    0.000    0.000    0.000 font_manager.py:812(set_size)
       19    0.000    0.000    0.000    0.000 font_manager.py:837(set_file)
        2    0.000    0.000    0.000    0.000 font_manager.py:858(copy)
       38    0.000    0.000    0.000    0.000 font_manager.py:928(_normalize_font_family)
       56    0.000    0.000    0.000    0.000 fromnumeric.py:2232(_any_dispatcher)
       56    0.000    0.000    0.001    0.000 fromnumeric.py:2236(any)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:2320(_all_dispatcher)
        8    0.000    0.000    0.000    0.000 fromnumeric.py:2324(all)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2401(_cumsum_dispatcher)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2405(cumsum)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2546(_amax_dispatcher)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2551(amax)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2671(_amin_dispatcher)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:2676(amin)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:42(_wrapit)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
       96    0.001    0.000    0.001    0.000 fromnumeric.py:73(_wrapreduction)
       96    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
       16    0.000    0.000    0.000    0.000 function_base.py:1137(_diff_dispatcher)
       16    0.000    0.000    0.000    0.000 function_base.py:1141(diff)
       69    0.000    0.000    0.000    0.000 function_base.py:257(iterable)
        1    0.000    0.000    0.000    0.000 genericpath.py:117(_splitext)
        4    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
       10    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
        1    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
        1    0.000    0.000    0.000    0.000 gridspec.py:140(__getitem__)
        1    0.000    0.000    0.000    0.000 gridspec.py:144(_normalize)
        1    0.000    0.000    0.000    0.000 gridspec.py:184(__init__)
        1    0.000    0.000    0.000    0.000 gridspec.py:295(get_subplot_params)
